grant_id,project_title,faculty_name,institution,award_amount,start_date,abstract
7202642,A Superconducting Magnet For Intravascular Navigation,D. B Montgomery,Massachusetts Institute of Technology,167200.0,07/01/1972,Research project focused on A Superconducting Magnet For Intravascular Navigation at Massachusetts Institute of Technology.
7202643,Mineral Processing and Water Treatment,Emanuel Maxwell,Massachusetts Institute of Technology,261100.0,07/01/1972,Research project focused on Mineral Processing and Water Treatment at Massachusetts Institute of Technology.
7202644,"Task Order For Computer Programs For Case Reporting Systems Modules 1, 2, and 3. Applied Data Research, Inc. Nsf-C683   T.O. 1",Jeremy Taylor,Applied Data Research Inc Washington,6762.0,10/28/1971,"Research project focused on Task Order For Computer Programs For Case Reporting Systems Modules 1, 2, and 3. Applied Data Research, Inc. Nsf-C683   T.O. 1 at Applied Data Research Inc Washington."
7202646,"Case Module 4, Phase Ii, Nsf-C683, T.O. No.",Dale L Holmburg,Applied Data Research Inc Washington,9275.0,05/19/1972,"Research project focused on Case Module 4, Phase Ii, Nsf-C683, T.O. No. at Applied Data Research Inc Washington."
7202649,Task Order For Changes to Pl-480 Activities System,Howard H Morrison,Auerbach Associates Inc,15806.0,10/27/1971,Research project focused on Task Order For Changes to Pl-480 Activities System at Auerbach Associates Inc.
7202651,An External Degree Program For M.S. and Ph.D. Students,Unknown Faculty,Auerbach Associates Inc,18175.0,03/15/1972,Research project focused on An External Degree Program For M.S. and Ph.D. Students at Auerbach Associates Inc.
7202653,Revised Labor Distribution System,Unknown Faculty,DATA NOT AVAILABLE,4672.0,05/09/1972,Research project focused on Revised Labor Distribution System at DATA NOT AVAILABLE.
7202669,Contract For Support of the Ad Hoc Committee For  the Fifth National Science Board Report on        Undergraduate EducatIon in the Sciences,Unknown Faculty,William Marsh Rice University,20000.0,08/25/1971,Research project focused on Contract For Support of the Ad Hoc Committee For  the Fifth National Science Board Report on        Undergraduate EducatIon in the Sciences at William Marsh Rice University.
7202673,"Operation and Maintenance of Nrao, (Nsf-C450)",Ronald Presnell,SRI International,124126.0,10/04/1971,"Research project focused on Operation and Maintenance of Nrao, (Nsf-C450) at SRI International."
7202674,"Engineering, Design and Analytical Services- U.S. Program InAntarctica",Unknown Faculty,Bechtel National Inc,494000.0,10/08/1971,"Research project focused on Engineering, Design and Analytical Services- U.S. Program InAntarctica at Bechtel National Inc."
7202676,System Analysis of Photothermal Conversion Systems,DATA NOT AVAILABLE,Aerospace Corporation,137118.0,07/01/1972,Research project focused on System Analysis of Photothermal Conversion Systems at Aerospace Corporation.
7202677,Preliminary Evaluation and Assessment of Consumer Programs,Andrew J Parker,Weiner Associates Inc,15000.0,03/01/1972,Research project focused on Preliminary Evaluation and Assessment of Consumer Programs at Weiner Associates Inc.
7202685,Contract For - Coordination of Ross Ice Shelf Project,John W Clough,University of Nebraska-Lincoln,2420976.0,02/01/1972,Research project focused on Contract For - Coordination of Ross Ice Shelf Project at University of Nebraska-Lincoln.
7202687,Engineering Study of the Manning of the Usns Eltanin,Unknown Faculty,Harbridge House Inc-DC,40358.0,02/11/1972,Research project focused on Engineering Study of the Manning of the Usns Eltanin at Harbridge House Inc-DC.
7202689,Review and Evaluation of Two Cai Projects,Ernest J Anastasio,Educational Testing Service,792010.0,02/07/1972,Research project focused on Review and Evaluation of Two Cai Projects at Educational Testing Service.
